country,year,agriculture_value,gdp_per_capita,population,poverty_headcount,school_enrollment,unemployment_rate,agriculture_value_change,gdp_per_capita_change,population_change,poverty_headcount_change,school_enrollment_change,unemployment_rate_change
ID,2018,12.8084975586902,3860.95353090726,269951846.0,12.5,93.4963,4.387,-2.6460671553667603,1.6339083063448445,0.9744606569946246,-15.540540540540547,-0.6392496659327396,15.966164419772655
ID,2019,12.7126026577522,4106.94856160358,272489381.0,10.9,80.67822719063545,3.59,-0.7486818848081,6.371354348792568,0.9399954242209629,-12.8,-13.709711303404038,-18.167312514246635
ID,2020,13.6984142796138,3853.70288774146,274814866.0,9.8,80.67822719063545,4.255,7.75460107109105,-6.166273330758221,0.8534222476728415,-10.09174311926605,0.0,18.52367688022285
ID,2021,13.2801691376596,4287.17313995098,276758053.0,8.6,80.67822719063545,3.827,-3.053237647927176,11.248149243377803,0.707089477466627,-12.244897959183687,0.0,-10.058754406580494
ID,2022,12.3996501634108,4730.83484836107,278830529.0,7.9,80.67822719063545,3.462,-6.630329517052935,10.34858387863391,0.7488403598503446,-8.139534883720923,0.0,-9.537496733733985
ID,2023,12.5294214769584,4876.30774512252,281190067.0,6.7,80.67822719063545,3.308,1.0465723777476565,3.0749941907578293,0.8462265622284137,-15.189873417721522,0.0,-4.448295782784529
ID,2024,12.6086658797584,4925.43048751861,283487931.0,5.4,80.67822719063545,3.301,0.6324665743404845,1.0073757638701997,0.8171924508272088,-19.402985074626866,0.0,-0.21160822249092215
ID,2025,21.69014588257372,1521.7108224729895,63267350.39333333,4.0,80.67822719063545,3.237,72.02570112825714,-69.10501881350042,-77.68252420123898,-25.92592592592593,0.0,-1.9388064222962798
KE,2000,28.7217806412905,414.626365130846,30642890.0,33.67153284671533,63.70743,2.884,0.0,0.0,0.0,0.0,0.0,0.0
KE,2001,27.8492601112896,410.700452474814,31619170.0,33.67153284671533,64.82191,2.876,-3.0378357835745162,-0.9468555273355661,3.185991921780218,0.0,1.7493720905081167,-0.277392510402219
